filename,election,name,total_contributions,total_contributions_by_type,total_contributions_by_origin_with_unitemized
aimee-eng.json,oakland-2014-11-04,Aimee Eng,33744.95,33744.95,33744.95
james-moore.json,oakland-2014-11-04,James Moore,10758.0,10758.0,10758.0
michael-johnson.json,oakland-2014-11-04,Michael Johnson,34487.87,34487.87,34487.87
christopher-dobbins.json,oakland-2014-11-04,Christopher Dobbins,5000.0,5000.0,5000.0
eric-wilson.json,oakland-2014-11-04,Eric Wilson,0.0,0.0,0.0
saied-karamooz.json,oakland-2014-11-04,Saied Karamooz,2609.9,2609.9,2609.9
shereda-nosakhare.json,oakland-2014-11-04,Shereda Nosakhare,27536.29,27536.29,27536.29
summuel-washington.json,oakland-2014-11-04,Summuel Washington,0.0,0.0,0.0
abel-guillen.json,oakland-2014-11-04,Abel Guillén,110520.36,110520.36,110520.36
nancy-sidebotham.json,oakland-2014-11-04,Nancy Sidebotham,0.0,0.0,0.0
kevin-blackburn.json,oakland-2014-11-04,Kevin Blackburn,62212.0,62212.0,62212.0
nina-senn.json,oakland-2014-11-04,Nina Senn,24233.82,24233.82,24233.82
jill-broadhurst.json,oakland-2014-11-04,Jill Broadhurst,77671.0,77671.0,77671.0
dana-king.json,oakland-2014-11-04,Dana King,91487.96,91487.96,91487.96
brenda-roberts.json,oakland-2014-11-04,Brenda Roberts,69175.0,69175.0,69175.0
karl-debro.json,oakland-2014-11-04,Karl Debro,1165.8,1165.8,1165.8
ken-maxey.json,oakland-2014-11-04,Ken Maxey,0.0,0.0,0.0
charles-williams.json,oakland-2014-11-04,Charles Williams,11835.0,11835.0,11835.0
dan-siegel.json,oakland-2014-11-04,Dan Siegel,280968.87,280968.87,280968.87
vancedric-williams.json,oakland-2020-11-03,VanCedric Williams,42403.73,41753.73,41753.73
cherisse-gash.json,oakland-2020-11-03,Cherisse Gash,6225.0,6225.0,6225.0
eli-ferran.json,oakland-2020-11-03,Eli Ferran,127237.43,127237.43,127237.43
clifford-thompson.json,oakland-2020-11-03,Clifford Thompson,19102.0,19102.0,19102.0
treva-reid.json,oakland-2020-11-03,Treva Reid,166111.47,166111.47,166111.47
steph-dominguez-walton.json,oakland-2020-11-03,Steph Dominguez Walton,171728.18,171728.18,171728.18
alexus-taylor.json,oakland-2020-11-03,Alexus Taylor,0.0,0.0,0.0
mike-hutchinson.json,oakland-2020-11-03,Mike Hutchinson,27381.49,27381.49,27381.49
derreck-b-johnson.json,oakland-2020-11-03,Derreck B. Johnson,268722.98,268722.98,268722.98
austin-dannhaus.json,oakland-2020-11-03,Austin Dannhaus,39343.0,39343.0,39343.0
tri-ngo.json,oakland-2020-11-03,Tri Ngo,26410.15,26410.15,26410.15
mark-hurty.json,oakland-2020-11-03,Mark Hurty,19109.0,19109.0,19109.0
faye-taylor.json,oakland-2020-11-03,Faye Taylor,2250.0,2250.0,2250.0
kristina-molina.json,oakland-2020-11-03,Kristina Molina,0.0,0.0,0.0
marchon-tatmon.json,oakland-2020-11-03,Marchon Tatmon,16455.36,16455.36,16455.36
rebecca-kaplan.json,oakland-2020-11-03,Rebecca Kaplan,252632.43,252632.43,252632.43
zoe-lopez-meraz.json,oakland-2020-11-03,Zoe Lopez-Meraz,8986.15,8986.15,8986.15
carroll-fife.json,oakland-2020-11-03,Carroll Fife,269303.07,269303.07,269303.07
maiya-edgerly.json,oakland-2020-11-03,Maiya Edgerly,10103.0,10103.0,10103.0
stacy-thomas.json,oakland-2020-11-03,Stacy Thomas,175.0,175.0,175.0
leroy-gaines.json,oakland-2020-11-03,Leroy Gaines,48671.7,48671.7,48671.7
ben-coach-tapscott.json,oakland-2020-11-03,"Ben ""Coach"" Tapscott",13862.58,13862.58,13862.58
bronche-taylor.json,oakland-2020-11-03,Bronché Taylor,0.0,0.0,0.0
lynette-gibson-mcelhaney.json,oakland-2020-11-03,Lynette Gibson McElhaney,238153.84,238153.84,238153.84
marcie-hodge.json,oakland-2020-11-03,Marcie Hodge,15065.0,15065.0,15065.0
maximo-santana.json,oakland-2020-11-03,Maximo Santana,0.0,0.0,0.0
meron-semedar.json,oakland-2020-11-03,Meron Semedar,0.0,0.0,0.0
barbara-parker.json,oakland-2020-11-03,Barbara Parker,144682.67,144682.67,144682.67
seneca-scott.json,oakland-2020-11-03,Seneca Scott,0.0,0.0,0.0
robert-bob-jackson.json,oakland-2020-11-03,"Robert ""Bob"" Jackson",96539.65,96539.65,96539.65
benjamin-sam-davis.json,oakland-2020-11-03,"Benjamin ""Sam"" Davis",70467.99,70467.99,70467.99
richard-santos-raya.json,oakland-2020-11-03,Richard Santos Raya,32262.96,32262.96,32262.96
victor-javier-valerio.json,oakland-2020-11-03,Victor Javier Valerio,0.0,0.0,0.0
aaron-clay.json,oakland-2020-11-03,Aaron Clay,71517.67,71517.67,71517.67
nancy-sidebotham.json,oakland-2020-11-03,Nancy Sidebotham,0.0,0.0,0.0
jorge-c-lerma.json,oakland-2020-11-03,Jorge C. Lerma,33865.0,33865.0,33865.0
dan-kalb.json,oakland-2020-11-03,Dan Kalb,164884.39,164884.39,164884.39
sheila-pope-lawrence.json,oakland-2020-11-03,Sheila Pope Lawrence,17885.74,17885.74,17885.74
noel-gallo.json,oakland-2020-11-03,Noel Gallo,82077.0,82077.0,82077.0
natasha-middleton.json,oakland-2018-11-06,Natasha Middleton,77814.57,77814.57,77814.57
pamela-price.json,oakland-2018-11-06,Pamela Price,109782.9,109782.9,109782.9
courtney-ruby.json,oakland-2018-11-06,Courtney Ruby,52266.74,52266.74,52266.74
francis-hummel.json,oakland-2018-11-06,Francis Hummel,14928.6,14928.6,14928.6
libby-schaaf.json,oakland-2018-11-06,Libby Schaaf,615686.6,615686.6,615686.6
ken-houston.json,oakland-2018-11-06,Ken Houston,0.0,0.0,0.0
joseph-tanios.json,oakland-2018-11-06,Joseph Tanios,24920.0,24920.0,24920.0
mya-whitaker.json,oakland-2018-11-06,Mya Whitaker,18176.0,18176.0,18176.0
marchon-tatmon.json,oakland-2018-11-06,Marchon Tatmon,22734.8,22734.8,22734.8
shanthi-gonzales.json,oakland-2018-11-06,Shanthi Gonzales,41273.0,41273.0,41273.0
peter-liu.json,oakland-2018-11-06,Peter Liu,0.0,0.0,0.0
cedric-anthony-troupe.json,oakland-2018-11-06,Cedric Anthony Troupe,0.0,0.0,0.0
nikki-fortunato-bas.json,oakland-2018-11-06,Nikki Fortunato Bas,197617.59,197617.59,197617.59
charlie-michelson.json,oakland-2018-11-06,Charlie Michelson,95313.0,95250.0,95250.0
desley-brooks.json,oakland-2018-11-06,Desley Brooks,105825.0,105825.0,105825.0
maria-marlo-rodriguez.json,oakland-2018-11-06,"Maria ""Marlo"" Rodriguez",25483.0,25483.0,25483.0
sheng-thao.json,oakland-2018-11-06,Sheng Thao,125319.19,125319.19,125319.19
aimee-eng.json,oakland-2018-11-06,Aimee Eng,-3014.3,-3014.3,-3014.3
nayeli-maxson.json,oakland-2018-11-06,Nayeli Maxson,58399.56,58399.56,58399.56
clarissa-doutherd.json,oakland-2018-11-06,Clarissa Doutherd,55131.12,55131.12,55131.12
gary-yee.json,oakland-2018-11-06,Gary Yee,33876.58,25168.58,25168.58
saied-karamooz.json,oakland-2018-11-06,Saied Karamooz,9548.6,9548.6,9548.6
jesse-a-j-smith.json,oakland-2018-11-06,Jesse A.J. Smith,0.0,0.0,0.0
pamela-harris.json,oakland-2018-11-06,Pamela Harris,68499.13,68499.13,68499.13
abel-guillen.json,oakland-2018-11-06,Abel Guillén,200652.0,200652.0,200652.0
donte-kenzie-smith.json,oakland-2018-11-06,Donte Kenzie Smith,0.0,0.0,0.0
nancy-sidebotham.json,oakland-2018-11-06,Nancy Sidebotham,0.0,0.0,0.0
joseph-simmons.json,oakland-2018-11-06,Joseph Simmons,57141.65,57141.65,57141.65
brenda-roberts.json,oakland-2018-11-06,Brenda Roberts,57047.13,57047.13,57047.13
anthony-wilson.json,oakland-2018-11-06,Anthony Wilson,12254.69,12254.69,12254.69
loren-taylor.json,oakland-2018-11-06,Loren Taylor,152465.26,152465.26,152465.26
cat-brooks.json,oakland-2018-11-06,Cat Brooks,191189.79,191189.79,191189.79
van-cedric-williams.json,oakland-2024-11-05,Van Cedric Williams,0.0,0.0,0.0
shan-m-hirsch.json,oakland-2024-11-05,Shan M. Hirsch,0.0,0.0,0.0
mindy-pechenuk.json,oakland-2024-11-05,Mindy Pechenuk,3017.0,3017.0,3017.0
rowena-j-brown.json,oakland-2024-11-05,Rowena J. Brown,15034.0,15034.0,15034.0
charlene-a-wang.json,oakland-2024-11-05,Charlene A. Wang,65425.23,65425.23,65425.23
edward-c-frank.json,oakland-2024-11-05,Edward C. Frank,0.0,0.0,0.0
iris-merriouns.json,oakland-2024-11-05,Iris Merriouns,0.0,0.0,0.0
ken-houston.json,oakland-2024-11-05,Ken Houston,0.0,0.0,0.0
meron-y-semedar.json,oakland-2024-11-05,Meron Y. Semedar,1308.0,1308.0,1308.0
len-raphael.json,oakland-2024-11-05,Len Raphael,7972.0,7972.0,7972.0
benjamin-salop.json,oakland-2024-11-05,Benjamin Salop,0.0,0.0,0.0
carroll-fife.json,oakland-2024-11-05,Carroll Fife,15816.0,15816.0,15816.0
selika-thomas.json,oakland-2024-11-05,Selika Thomas,0.0,0.0,0.0
ryan-richardson.json,oakland-2024-11-05,Ryan Richardson,46849.22,46849.22,46849.22
kanitha-matoury.json,oakland-2024-11-05,Kanitha Matoury,47873.0,47873.0,47873.0
michelle-hailey.json,oakland-2024-11-05,Michelle Hailey,0.0,0.0,0.0
alexandra-ritzie-hernandez.json,oakland-2024-11-05,Alexandra Ritzie-Hernandez,0.0,0.0,0.0
warren-logan.json,oakland-2024-11-05,Warren Logan,101364.27,101364.27,101364.27
erin-armstrong.json,oakland-2024-11-05,Erin Armstrong,1200.0,1200.0,1200.0
rachel-e-latta.json,oakland-2024-11-05,Rachel E. Latta,18131.96,18131.96,18131.96
marcie-hodge.json,oakland-2024-11-05,Marcie Hodge,0.0,0.0,0.0
fabian-robinson.json,oakland-2024-11-05,Fabian Robinson,0.0,0.0,0.0
shawn-b-danino.json,oakland-2024-11-05,Shawn B. Danino,0.0,0.0,0.0
baba-a-afolabi.json,oakland-2024-11-05,Baba A. Afolabi,3575.0,3575.0,3575.0
dominic-l-prado.json,oakland-2024-11-05,Dominic L. Prado,0.0,0.0,0.0
cristina-tostado.json,oakland-2024-11-05,Cristina Tostado,6490.0,6490.0,6490.0
dominic-j-ware.json,oakland-2024-11-05,Dominic J. Ware,0.0,0.0,0.0
merika-goolsby.json,oakland-2024-11-05,Merika Goolsby,0.0,0.0,0.0
nancy-sidebotham.json,oakland-2024-11-05,Nancy Sidebotham,0.0,0.0,0.0
dwayne-a-aikens.json,oakland-2024-11-05,Dwayne A. Aikens,1200.0,1200.0,1200.0
clifford-w-thompson.json,oakland-2024-11-05,Clifford W. Thompson,6200.0,6200.0,6200.0
patrice-a-berry.json,oakland-2024-11-05,Patrice A. Berry,7911.0,7911.0,7911.0
brenda-harbin-forte.json,oakland-2024-11-05,Brenda Harbin-Forte,7500.0,7500.0,7500.0
zac-unger.json,oakland-2024-11-05,Zac Unger,167989.4,167989.4,167989.4
noel-gallo.json,oakland-2024-11-05,Noel Gallo,17400.0,17400.0,17400.0
leronne-armstrong.json,oakland-2024-11-05,LeRonne Armstrong,42704.2,42704.2,42704.2
christian-miguel-martinez.json,oakland-2023-11-07,Christian Miguel Martinez,0.0,0.0,0.0
alexandra-ritzie-hernandez.json,oakland-2023-11-07,Alexandra Ritzie-Hernandez,18650.0,18950.0,18950.0
jorge-c-lerma.json,oakland-2023-11-07,Jorge C. Lerma,18307.0,18307.0,18307.0
michael-houston.json,oakland-2024-03-05,Michael Houston,18005.0,18005.0,18005.0
bruce-quan.json,oakland-2016-11-08,Bruce Quan,75623.14,75623.14,75623.14
roseann-torres.json,oakland-2016-11-08,Roseann Torres,42403.01,42403.01,42403.01
jody-london.json,oakland-2016-11-08,Jody London,22344.0,22344.0,22344.0
francis-matt-hummel.json,oakland-2016-11-08,Francis Matt Hummel,1750.0,1750.0,1750.0
larry-reid.json,oakland-2016-11-08,Larry Reid,76910.71,76910.71,76910.71
peggy-moore.json,oakland-2016-11-08,Peggy Moore,118645.86,122727.86,122727.86
lucky-narain.json,oakland-2016-11-08,Lucky Narain,0.0,0.0,0.0
donald-macleay.json,oakland-2016-11-08,Donald Macleay,5219.5,5219.5,5219.5
jumoke-hinton-hodge.json,oakland-2016-11-08,Jumoke Hinton Hodge,25041.85,25041.85,25041.85
benjamin-lang.json,oakland-2016-11-08,Benjamin Lang,0.0,0.0,0.0
rebecca-kaplan.json,oakland-2016-11-08,Rebecca Kaplan,174571.99,174571.99,174571.99
viola-gonzales.json,oakland-2016-11-08,Viola Gonzales,69742.41,69742.41,69742.41
nehanda-imara.json,oakland-2016-11-08,Nehanda Imara,27941.0,27941.0,27941.0
james-harris.json,oakland-2016-11-08,James Harris,27586.0,27586.0,27586.0
kharyshi-wiginton.json,oakland-2016-11-08,Kharyshi Wiginton,5798.0,5798.0,5798.0
chris-jackson.json,oakland-2016-11-08,Chris Jackson,25462.0,25462.0,25462.0
michael-hutchinson.json,oakland-2016-11-08,Michael Hutchinson,0.0,0.0,0.0
lynette-gibson-mcelhaney.json,oakland-2016-11-08,Lynette Gibson McElhaney,128456.69,128456.69,128456.69
marcie-hodge.json,oakland-2016-11-08,Marcie Hodge,25174.0,25224.0,25224.0
huber-trenado.json,oakland-2016-11-08,Huber Trenado,21685.48,21685.48,21685.48
noni-session.json,oakland-2016-11-08,Noni Session,10634.0,10634.0,10634.0
barbara-parker.json,oakland-2016-11-08,Barbara Parker,67909.0,67909.0,67909.0
kevin-corbett.json,oakland-2016-11-08,Kevin Corbett,42542.0,42542.0,42542.0
michael-hassid.json,oakland-2016-11-08,Michael Hassid,8546.0,8546.0,8546.0
nancy-sidebotham.json,oakland-2016-11-08,Nancy Sidebotham,396.0,396.0,396.0
dan-kalb.json,oakland-2016-11-08,Dan Kalb,113160.66,113160.66,113160.66
noel-gallo.json,oakland-2016-11-08,Noel Gallo,48119.0,48119.0,48119.0
derrick-soo.json,oakland-2022-11-08,Derrick Soo,0.0,0.0,0.0
max-orozco.json,oakland-2022-11-08,Max Orozco,2594.65,2294.65,2294.65
john-reimann.json,oakland-2022-11-08,John Reimann,0.0,0.0,0.0
nick-resnick.json,oakland-2022-11-08,Nick Resnick,61495.0,61495.0,61495.0
paulina-gonzalez.json,oakland-2022-11-08,Paulina Gonzalez,19675.0,19675.0,19675.0
courtney-ruby.json,oakland-2022-11-08,Courtney Ruby,0.0,0.0,0.0
mike-hutchinson.json,oakland-2022-11-08,Mike Hutchinson,10346.0,10346.0,10346.0
john-mimosa-marks.json,oakland-2022-11-08,John Mimosa Marks,0.0,0.0,0.0
nenna-joiner.json,oakland-2022-11-08,Nenna Joiner,59938.36,59938.36,59938.36
jesse-tapia-juarez.json,oakland-2022-11-08,Jesse Tapia-Juarez,0.0,0.0,0.0
kevin-jenkins.json,oakland-2022-11-08,Kevin Jenkins,85114.0,85114.0,85114.0
loren-manuel-taylor.json,oakland-2022-11-08,Loren Manuel Taylor,608311.3,608311.3,608311.3
ignacio-de-la-fuente.json,oakland-2022-11-08,Ignacio De La Fuente,257158.97,257158.97,257158.97
desmond-i-jeffries.json,oakland-2022-11-08,Desmond I. Jeffries,0.0,0.0,0.0
tyron-c-jordan.json,oakland-2022-11-08,Tyron C. Jordan,0.0,0.0,0.0
kenny-session.json,oakland-2022-11-08,Kenny Session,13795.0,13795.0,13795.0
nikki-fortunato-bas.json,oakland-2022-11-08,Nikki Fortunato Bas,175063.0,175063.0,175063.0
yakpasua-michael-gbagba-zazaboi.json,oakland-2022-11-08,Yakpasua Michael Gbagba Zazaboi,13256.09,13256.09,13256.09
renia-webb.json,oakland-2022-11-08,Renia Webb,0.0,0.0,0.0
sheng-thao.json,oakland-2022-11-08,Sheng Thao,475974.47,482474.47,482474.47
pecolia-manigo.json,oakland-2022-11-08,Pecolia Manigo,39658.0,39658.0,39658.0
janani-ramachandran.json,oakland-2022-11-08,Janani Ramachandran,180283.19,180283.19,180283.19
valarie-bachelor.json,oakland-2022-11-08,Valarie Bachelor,39210.59,39210.59,39210.59
stephen-schear.json,oakland-2022-11-08,Stephen Schear,0.0,0.0,0.0
derreck-johnson.json,oakland-2022-11-08,Derreck Johnson,66849.0,66849.0,66849.0
jennifer-brouhard.json,oakland-2022-11-08,Jennifer Brouhard,23448.0,23448.0,23448.0
david-kakishiba.json,oakland-2022-11-08,David Kakishiba,61154.65,61154.65,61154.65
seneca-scott.json,oakland-2022-11-08,Seneca Scott,72405.51,72405.51,72405.51
treva-d-reid.json,oakland-2022-11-08,Treva D. Reid,231394.79,231394.79,231394.79
gregory-hodge.json,oakland-2022-11-08,Gregory Hodge,174993.15,174993.15,174993.15
kyra-mungia.json,oakland-2022-11-08,Kyra Mungia,71237.0,71237.0,71237.0
peter-y-liu.json,oakland-2022-11-08,Peter Y. Liu,0.0,0.0,0.0
allyssa-victory-villanueva.json,oakland-2022-11-08,Allyssa Victory Villanueva,26421.2,26521.2,26521.2
elbert-owens.json,oakland-2022-11-08,Elbert Owens,0.0,0.0,0.0
harold-lowe.json,oakland-2022-11-08,Harold Lowe,35282.0,35282.0,35282.0
nancy-sidebotham.json,oakland-2022-11-08,Nancy Sidebotham,0.0,0.0,0.0
joel-velasquez.json,oakland-2022-11-08,Joel Velasquez,0.0,0.0,0.0
monesha-carter.json,oakland-2022-11-08,Monesha Carter,0.0,0.0,0.0
mart-bradley.json,oakland-2022-11-08,Mart Bradley,0.0,0.0,0.0
